Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
55300,2.72986,2.18991,2.23993,2.2564
55400,2.72434,2.1918,2.21805,2.2628
55500,2.72594,2.18659,2.22877,2.26117
55600,2.72787,2.18999,2.22713,2.26416
55700,2.73232,2.19204,2.2294,2.27065
55800,2.72989,2.19008,2.2335,2.26267
55900,2.74035,2.1872,2.24602,2.27829
56000,2.75253,2.21101,2.25403,2.27676
56100,2.74361,2.20434,2.2323,2.28309
56200,2.74259,2.21493,2.2287,2.27389
56300,2.73463,2.19547,2.2304,2.27191
56400,2.74449,2.20097,2.23388,2.2869
56500,2.73809,2.19801,2.24583,2.26259
56600,2.73418,2.19227,2.24704,2.25748
56700,2.7314,2.1976,2.23878,2.25377
56800,2.72096,2.19212,2.22141,2.25105
56900,2.72476,2.1932,2.22677,2.25387
57000,2.72028,2.17987,2.23774,2.24511
57100,2.7192,2.18717,2.23226,2.24084
57200,2.71777,2.18772,2.21715,2.25182
57300,2.71489,2.19174,2.21392,2.24413
57400,2.71125,2.19025,2.2067,2.24388
57500,2.71132,2.1869,2.20691,2.24711
57600,2.70656,2.19114,2.20188,2.23642
57700,2.72363,2.20451,2.21546,2.25127
57800,2.72057,2.19841,2.2161,2.2492
57900,2.72848,2.20068,2.22311,2.25919
58000,2.70876,2.18489,2.21213,2.23774
58100,2.70734,2.18899,2.20597,2.23638
58200,2.72273,2.19117,2.22318,2.25449
58300,2.71682,2.18871,2.21376,2.25189
58400,2.72967,2.20867,2.21443,2.2628
58500,2.72946,2.20286,2.21343,2.26894
58600,2.72588,2.20076,2.21866,2.25723
58700,2.70921,2.19152,2.20992,2.23453
58800,2.72134,2.18997,2.22196,2.25353
58900,2.73374,2.20968,2.22227,2.26396
59000,2.70469,2.18456,2.21193,2.22839
59100,2.70169,2.18572,2.19975,2.23202
59200,2.71452,2.19581,2.21245,2.2407
59300,2.71427,2.19319,2.20963,2.24543
59400,2.7213,2.18628,2.22572,2.25329
59500,2.71711,2.19095,2.21346,2.2507
59600,2.71351,2.18534,2.22412,2.23692
59700,2.73591,2.20064,2.22968,2.27071
59800,2.72871,2.18958,2.23496,2.25887
59900,2.72672,2.20399,2.2203,2.25449
60000,2.71629,2.18666,2.21524,2.25115
