Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
37100,1.39048,1.16626,1.04534,1.18911
37200,1.39561,1.17085,1.04039,1.20089
37300,1.39626,1.17839,1.04297,1.19277
37400,1.3968,1.16751,1.04869,1.1997
37500,1.38781,1.15859,1.04492,1.19073
37600,1.38755,1.16743,1.04192,1.18411
37700,1.39226,1.16839,1.04693,1.18977
37800,1.3918,1.17176,1.0424,1.18937
37900,1.38857,1.16933,1.0355,1.19022
38000,1.38451,1.15776,1.04214,1.18628
38100,1.38795,1.16149,1.04433,1.18876
38200,1.38877,1.16309,1.0462,1.18747
38300,1.38103,1.15404,1.04369,1.18041
38400,1.38441,1.15934,1.04109,1.18541
38500,1.39307,1.17089,1.05054,1.18604
38600,1.39813,1.17506,1.04946,1.19473
38700,1.38605,1.15949,1.04069,1.18946
38800,1.38089,1.16001,1.04373,1.1742
38900,1.38676,1.16102,1.04125,1.18913
39000,1.37996,1.14948,1.04546,1.18079
39100,1.38631,1.1608,1.04414,1.18576
39200,1.39431,1.16683,1.05674,1.18744
39300,1.38948,1.16332,1.04546,1.18955
39400,1.40292,1.17925,1.04197,1.20832
39500,1.39185,1.1701,1.04199,1.19149
39600,1.39106,1.17485,1.03078,1.19471
39700,1.39243,1.17627,1.03357,1.1941
39800,1.39356,1.18079,1.04158,1.18527
39900,1.39961,1.17871,1.04554,1.19804
40000,1.39651,1.17031,1.04844,1.19651
40100,1.39096,1.16297,1.03823,1.19963
40200,1.39177,1.16822,1.04319,1.19208
40300,1.38799,1.16945,1.02655,1.1965
40400,1.38619,1.15905,1.04598,1.18558
40500,1.39031,1.16821,1.03986,1.19159
40600,1.38141,1.15628,1.04373,1.17909
40700,1.37823,1.14818,1.04046,1.18243
40800,1.38003,1.15409,1.0311,1.18907
40900,1.38106,1.1609,1.02846,1.18711
41000,1.38558,1.16507,1.03501,1.18785
41100,1.38912,1.16577,1.04353,1.188
41200,1.38149,1.15756,1.03234,1.188
41300,1.39443,1.17433,1.0413,1.19394
41400,1.38089,1.15329,1.04563,1.17911
41500,1.38205,1.16681,1.0351,1.17783
41600,1.38291,1.16282,1.0325,1.18603
41700,1.37868,1.15319,1.03869,1.18017
41800,1.37572,1.15258,1.03644,1.17582
41900,1.37909,1.16232,1.03514,1.17528
42000,1.37059,1.14078,1.03824,1.17376
42100,1.37777,1.16152,1.02976,1.17768
42200,1.37832,1.16339,1.03132,1.17577
42300,1.37578,1.15006,1.04313,1.1725
42400,1.3793,1.15936,1.03073,1.18255
42500,1.38115,1.16509,1.01869,1.19163
42600,1.37022,1.1511,1.02592,1.17365
42700,1.3868,1.17116,1.03748,1.18255
42800,1.38113,1.16362,1.03491,1.17896
42900,1.3861,1.1678,1.03244,1.18863
43000,1.37936,1.16003,1.03577,1.1776
43100,1.38697,1.16435,1.04021,1.18727
43200,1.38418,1.16837,1.03453,1.18175
43300,1.38036,1.15349,1.04449,1.17867
43400,1.40191,1.18653,1.04399,1.19705
43500,1.38431,1.15841,1.03962,1.18739
43600,1.38535,1.15911,1.03985,1.18893
43700,1.38801,1.16062,1.04523,1.18894
43800,1.39471,1.17342,1.03475,1.20118
43900,1.38183,1.15835,1.032,1.18833
44000,1.3845,1.15933,1.04135,1.18543
44100,1.3804,1.15419,1.0369,1.18477
44200,1.38175,1.15924,1.03393,1.18558
44300,1.38505,1.17246,1.02,1.19234
44400,1.37538,1.14976,1.03858,1.17589
44500,1.37915,1.15948,1.04176,1.17238
44600,1.39126,1.16235,1.05482,1.18639
44700,1.38103,1.16121,1.04645,1.17091
44800,1.38351,1.15856,1.0447,1.18091
44900,1.37934,1.156,1.04319,1.17497
45000,1.38333,1.15393,1.04444,1.18523
45100,1.38151,1.15263,1.04215,1.18428
45200,1.38847,1.1637,1.04595,1.18636
45300,1.38502,1.16241,1.04351,1.1817
45400,1.37868,1.15559,1.03946,1.17714
45500,1.38873,1.16276,1.04423,1.18942
45600,1.39173,1.17036,1.04727,1.1863
45700,1.37408,1.14903,1.04399,1.16877
45800,1.38217,1.15709,1.04152,1.18202
45900,1.38041,1.15873,1.03211,1.18455
46000,1.3936,1.17246,1.04939,1.18674
46100,1.38424,1.15853,1.04153,1.18543
46200,1.38595,1.16447,1.04229,1.18294
46300,1.38066,1.1596,1.03189,1.18448
46400,1.38074,1.14949,1.04793,1.18042
46500,1.37674,1.15316,1.03604,1.17801
46600,1.37236,1.14562,1.03764,1.17371
46700,1.37814,1.15305,1.03887,1.17887
46800,1.38474,1.16372,1.03272,1.18924
46900,1.38243,1.16209,1.02829,1.18928
47000,1.38174,1.15444,1.03818,1.18654
47100,1.38036,1.15128,1.03989,1.1849
47200,1.37569,1.15052,1.03486,1.17917
47300,1.38353,1.15697,1.04039,1.18632
47400,1.38354,1.15817,1.03324,1.19139
47500,1.37172,1.14937,1.03685,1.16922
47600,1.37219,1.14859,1.03003,1.17711
47700,1.37806,1.15559,1.03108,1.18303
47800,1.37479,1.15165,1.04079,1.17072
47900,1.37771,1.14998,1.03805,1.18161
48000,1.37172,1.14615,1.03289,1.17588
48100,1.38047,1.15701,1.03515,1.18371
48200,1.38041,1.15539,1.03782,1.18281
48300,1.38312,1.16244,1.03675,1.18318
48400,1.39118,1.1692,1.04165,1.1911
48500,1.37688,1.14913,1.03539,1.18282
48600,1.3827,1.1528,1.04122,1.18771
48700,1.38116,1.15461,1.04348,1.18035
48800,1.38123,1.16446,1.03114,1.18169
48900,1.38221,1.16136,1.03656,1.18229
49000,1.37828,1.15061,1.03371,1.18609
49100,1.36862,1.1434,1.03472,1.16972
49200,1.371,1.14723,1.0333,1.17279
49300,1.371,1.1461,1.03103,1.1759
49400,1.38271,1.15838,1.04219,1.18142
49500,1.36698,1.14459,1.02753,1.17105
49600,1.37228,1.14898,1.02797,1.17875
49700,1.38261,1.15999,1.03342,1.18729
49800,1.37802,1.15896,1.02848,1.18193
49900,1.37842,1.15332,1.03802,1.18002
50000,1.38362,1.15734,1.04259,1.18423
50100,1.38305,1.16167,1.02805,1.19133
50200,1.38296,1.16167,1.02828,1.19093
50300,1.37729,1.15354,1.03061,1.18366
50400,1.3779,1.15705,1.04465,1.16925
50500,1.37262,1.15042,1.0335,1.17327
50600,1.3807,1.15774,1.03858,1.18053
50700,1.37321,1.15949,1.02976,1.169
50800,1.38004,1.1608,1.04004,1.17469
50900,1.38093,1.16328,1.03023,1.18293
51000,1.38779,1.16594,1.03397,1.19307
51100,1.3842,1.16285,1.04029,1.1822
51200,1.38741,1.16253,1.03514,1.19451
51300,1.37651,1.15661,1.03013,1.17927
51400,1.37892,1.15835,1.03311,1.18056
51500,1.37845,1.15783,1.02972,1.18295
51600,1.36958,1.1455,1.03056,1.17358
51700,1.37904,1.15787,1.02804,1.18573
51800,1.37796,1.16197,1.02609,1.18091
51900,1.38121,1.1536,1.04018,1.18436
52000,1.3776,1.15263,1.03453,1.18184
52100,1.38256,1.16588,1.03217,1.18251
52200,1.37381,1.15366,1.03012,1.17585
52300,1.37669,1.15393,1.0327,1.18006
52400,1.37034,1.14972,1.02526,1.17587
52500,1.36714,1.14165,1.03026,1.17189
52600,1.37451,1.15284,1.03505,1.17395
52700,1.36525,1.14323,1.0258,1.16986
52800,1.38479,1.16132,1.0396,1.18569
52900,1.38135,1.15234,1.03942,1.18657
53000,1.38518,1.16007,1.04641,1.18181
53100,1.37257,1.15213,1.02806,1.17626
53200,1.37392,1.14978,1.0441,1.16754
